From	To
1433B_HUMAN	YWHAB
1433E_HUMAN	YWHAE
1433F_HUMAN	YWHAH
1433G_HUMAN	YWHAG
1433S_HUMAN	SFN
1433T_HUMAN	YWHAQ
1433Z_HUMAN	YWHAZ
1A01_HUMAN	HLA-A
1A02_HUMAN	HLA-A
1A03_HUMAN	HLA-A
1A11_HUMAN	HLA-A
1A1L1_HUMAN	ACCS
1A1L2_HUMAN	ACCSL
1A23_HUMAN	HLA-A
1A24_HUMAN	HLA-A
1A25_HUMAN	HLA-A
1A26_HUMAN	HLA-A
1A29_HUMAN	HLA-A
1A30_HUMAN	HLA-A
1A31_HUMAN	HLA-A
1A32_HUMAN	HLA-A
1A33_HUMAN	HLA-A
1A34_HUMAN	HLA-A
1A36_HUMAN	HLA-A
1A43_HUMAN	HLA-A
1A66_HUMAN	HLA-A
1A68_HUMAN	HLA-A
1A69_HUMAN	HLA-A
1A74_HUMAN	HLA-A
1A80_HUMAN	HLA-A
1B07_HUMAN	HLA-B
1B08_HUMAN	HLA-B
1B13_HUMAN	HLA-B
1B14_HUMAN	HLA-B
1B15_HUMAN	HLA-B
1B18_HUMAN	HLA-B
1B27_HUMAN	HLA-B
1B35_HUMAN	HLA-B
1B37_HUMAN	HLA-B
1B38_HUMAN	HLA-B
1B39_HUMAN	HLA-B
1B40_HUMAN	HLA-B
1B41_HUMAN	HLA-B
1B42_HUMAN	HLA-B
1B44_HUMAN	HLA-B
1B45_HUMAN	HLA-B
1B46_HUMAN	HLA-B
1B47_HUMAN	HLA-B
1B48_HUMAN	HLA-B
1B49_HUMAN	HLA-B
1B50_HUMAN	HLA-B
1B51_HUMAN	HLA-B
1B52_HUMAN	HLA-B
1B53_HUMAN	HLA-B
1B54_HUMAN	HLA-B
1B55_HUMAN	HLA-B
1B56_HUMAN	HLA-B
1B57_HUMAN	HLA-B
1B58_HUMAN	HLA-B
1B59_HUMAN	HLA-B
1B67_HUMAN	HLA-B
1B73_HUMAN	HLA-B
1B78_HUMAN	HLA-B
1B81_HUMAN	HLA-B
1B82_HUMAN	HLA-B
1C01_HUMAN	HLA-C
1C02_HUMAN	HLA-C
1C03_HUMAN	HLA-C
1C04_HUMAN	HLA-C
1C05_HUMAN	HLA-C
1C06_HUMAN	HLA-C
1C07_HUMAN	HLA-C
1C08_HUMAN	HLA-C
1C12_HUMAN	HLA-C
1C14_HUMAN	HLA-C
1C15_HUMAN	HLA-C
1C16_HUMAN	HLA-C
1C17_HUMAN	HLA-C
1C18_HUMAN	HLA-C
2A5A_HUMAN	PPP2R5A
2A5B_HUMAN	PPP2R5B
2A5D_HUMAN	PPP2R5D
2A5E_HUMAN	PPP2R5E
2A5G_HUMAN	PPP2R5C
2AAA_HUMAN	PPP2R1A
2AAB_HUMAN	PPP2R1B
2ABA_HUMAN	PPP2R2A
2ABB_HUMAN	PPP2R2B
2ABD_HUMAN	PPP2R2D
2ABG_HUMAN	PPP2R2C
2B11_HUMAN	HLA-DRB1
2B13_HUMAN	HLA-DRB1
2B14_HUMAN	HLA-DRB1
2B17_HUMAN	HLA-DRB1
2B18_HUMAN	HLA-DRB1
2B19_HUMAN	HLA-DRB1
2B1A_HUMAN	HLA-DRB1
2B1B_HUMAN	HLA-DRB1
2B1C_HUMAN	HLA-DRB1
2B1D_HUMAN	HLA-DRB1
2B1E_HUMAN	HLA-DRB1
2B1F_HUMAN	HLA-DRB1
2B1G_HUMAN	HLA-DRB1
3BHS1_HUMAN	HSD3B1
3BHS2_HUMAN	HSD3B2
3BHS7_HUMAN	HSD3B7
3BP1_HUMAN	SH3BP1
3BP2_HUMAN	SH3BP2
3BP5L_HUMAN	SH3BP5L
3BP5_HUMAN	SH3BP5
3HAO_HUMAN	HAAO
3HIDH_HUMAN	HIBADH
3MG_HUMAN	MPG
41_HUMAN	EPB41
4EBP1_HUMAN	EIF4EBP1
4EBP2_HUMAN	EIF4EBP2
4EBP3_HUMAN	EIF4EBP3
4ET_HUMAN	EIF4ENIF1
4F2_HUMAN	SLC3A2
5HT1A_HUMAN	HTR1A
5HT1B_HUMAN	HTR1B
5HT1D_HUMAN	HTR1D
5HT1E_HUMAN	HTR1E
5HT1F_HUMAN	HTR1F
5HT2A_HUMAN	HTR2A
5HT2B_HUMAN	HTR2B
5HT2C_HUMAN	HTR2C
5HT3A_HUMAN	HTR3A
5HT3B_HUMAN	HTR3B
5HT3C_HUMAN	HTR3C
5HT3D_HUMAN	HTR3D
5HT3E_HUMAN	HTR3E
5HT4R_HUMAN	HTR4
5HT5A_HUMAN	HTR5A
5HT6R_HUMAN	HTR6
5HT7R_HUMAN	HTR7
5NT1A_HUMAN	NT5C1A
5NT1B_HUMAN	NT5C1B
5NT3A_HUMAN	NT5C3A
5NT3B_HUMAN	NT5C3B
5NTC_HUMAN	NT5C2
5NTD_HUMAN	NT5E
68MP_HUMAN	MP68
6PGD_HUMAN	PGD
6PGL_HUMAN	PGLS
7B2_HUMAN	SCG5
8ODP_HUMAN	NUDT1
A14EL_HUMAN	ARL14EPL
A16A1_HUMAN	ALDH16A1
A16L1_HUMAN	ATG16L1
A16L2_HUMAN	ATG16L2
A1AG1_HUMAN	ORM1
A1AG2_HUMAN	ORM2
A1ATR_HUMAN	SERPINA2
A1AT_HUMAN	SERPINA1
A1BG_HUMAN	A1BG
A1CF_HUMAN	A1CF
A2012_HUMAN	ANKRD20A12P
A20A1_HUMAN	ANKRD20A1
A20A2_HUMAN	ANKRD20A2
A20A3_HUMAN	ANKRD20A3
A20A4_HUMAN	ANKRD20A4
A20A5_HUMAN	ANKRD20A5P
A26L1_HUMAN	ANKRD36BP1
A2AP_HUMAN	SERPINF2
A2GL_HUMAN	LRG1
A2MG_HUMAN	A2M
A2ML1_HUMAN	A2ML1
A30BL_HUMAN	ANKRD30BL
A4AS1_HUMAN	ADAMTSL4-AS1
A4GAT_HUMAN	A4GALT
A4GCT_HUMAN	A4GNT
A4_HUMAN	APP
A7L3B_HUMAN	ATXN7L3B
AA1R_HUMAN	ADORA1
AA2AR_HUMAN	ADORA2A
AA2BR_HUMAN	ADORA2B
AA3R_HUMAN	ADORA3
AAA1_HUMAN	SLC7A10
AAAD_HUMAN	AADAC
AAAS_HUMAN	AAAS
AAAT_HUMAN	SLC1A5
AACS_HUMAN	AACS
AACT_HUMAN	SERPINA3
AADAT_HUMAN	AADAT
AAED1_HUMAN	AAED1
AAGAB_HUMAN	AAGAB
AAK1_HUMAN	AAK1
AAKB1_HUMAN	PRKAB1
AAKB2_HUMAN	PRKAB2
AAKG1_HUMAN	PRKAG1
AAKG2_HUMAN	PRKAG2
AAKG3_HUMAN	PRKAG3
AAMDC_HUMAN	AAMDC
AAMP_HUMAN	AAMP
AAPK1_HUMAN	PRKAA1
AAPK2_HUMAN	PRKAA2
AAR2_HUMAN	AAR2
AARD_HUMAN	AARD
AAS1_HUMAN	ADORA2A-AS1
AASD1_HUMAN	AARSD1
AASS_HUMAN	AASS
AATC2_HUMAN	GOT1L1
AATC_HUMAN	GOT1
AATF_HUMAN	AATF
AATM_HUMAN	GOT2
AB12B_HUMAN	ABHD12B
AB17A_HUMAN	ABHD17A
AB17B_HUMAN	ABHD17B
AB17C_HUMAN	ABHD17C
AB1IP_HUMAN	APBB1IP
ABC3A_HUMAN	APOBEC3A
ABC3B_HUMAN	APOBEC3B
ABC3C_HUMAN	APOBEC3C
ABC3D_HUMAN	APOBEC3D
ABC3F_HUMAN	APOBEC3F
ABC3G_HUMAN	APOBEC3G
ABC3H_HUMAN	APOBEC3H
ABCA1_HUMAN	ABCA1
ABCA2_HUMAN	ABCA2
ABCA3_HUMAN	ABCA3
ABCA4_HUMAN	ABCA4
ABCA5_HUMAN	ABCA5
ABCA6_HUMAN	ABCA6
ABCA7_HUMAN	ABCA7
ABCA8_HUMAN	ABCA8
ABCA9_HUMAN	ABCA9
ABCAA_HUMAN	ABCA10
ABCAB_HUMAN	ABCA11P
ABCAC_HUMAN	ABCA12
ABCAD_HUMAN	ABCA13
ABCB5_HUMAN	ABCB5
ABCB6_HUMAN	ABCB6
ABCB7_HUMAN	ABCB7
ABCB8_HUMAN	ABCB8
ABCB9_HUMAN	ABCB9
ABCBA_HUMAN	ABCB10
ABCBB_HUMAN	ABCB11
ABCC8_HUMAN	ABCC8
ABCC9_HUMAN	ABCC9
ABCCB_HUMAN	ABCC11
ABCCD_HUMAN	ABCC13
ABCD1_HUMAN	ABCD1
ABCD2_HUMAN	ABCD2
ABCD3_HUMAN	ABCD3
ABCD4_HUMAN	ABCD4
ABCE1_HUMAN	ABCE1
ABCF1_HUMAN	ABCF1
ABCF2_HUMAN	ABCF2
ABCF3_HUMAN	ABCF3
ABCG1_HUMAN	ABCG1
ABCG2_HUMAN	ABCG2
ABCG4_HUMAN	ABCG4
ABCG5_HUMAN	ABCG5
ABCG8_HUMAN	ABCG8
ABD12_HUMAN	ABHD12
ABD18_HUMAN	ABHD18
ABEC1_HUMAN	APOBEC1
ABEC2_HUMAN	APOBEC2
ABEC4_HUMAN	APOBEC4
ABH15_HUMAN	ABHD15
ABHD1_HUMAN	ABHD1
ABHD2_HUMAN	ABHD2
ABHD3_HUMAN	ABHD3
ABHD4_HUMAN	ABHD4
ABHD5_HUMAN	ABHD5
ABHD6_HUMAN	ABHD6
ABHD8_HUMAN	ABHD8
ABHDA_HUMAN	ABHD10
ABHDB_HUMAN	ABHD11
ABHDD_HUMAN	ABHD13
ABHEA_HUMAN	ABHD14A
ABHEB_HUMAN	ABHD14B
ABHGA_HUMAN	ABHD16A
ABHGB_HUMAN	ABHD16B
ABI1_HUMAN	ABI1
ABI2_HUMAN	ABI2
ABI3_HUMAN	ABI3
ABL1_HUMAN	ABL1
ABL2_HUMAN	ABL2
ABLM1_HUMAN	ABLIM1
ABLM2_HUMAN	ABLIM2
ABLM3_HUMAN	ABLIM3
ABRAL_HUMAN	ABRACL
ABRA_HUMAN	ABRA
ABR_HUMAN	ABR
ABT1_HUMAN	ABT1
ABTB1_HUMAN	ABTB1
ABTB2_HUMAN	ABTB2
ACACA_HUMAN	ACACA
ACACB_HUMAN	ACACB
ACAD8_HUMAN	ACAD8
ACAD9_HUMAN	ACAD9
ACADL_HUMAN	ACADL
ACADM_HUMAN	ACADM
ACADS_HUMAN	ACADS
ACADV_HUMAN	ACADVL
ACAP1_HUMAN	ACAP1
ACAP2_HUMAN	ACAP2
ACAP3_HUMAN	ACAP3
ACATN_HUMAN	SLC33A1
ACBD4_HUMAN	ACBD4
ACBD5_HUMAN	ACBD5
ACBD6_HUMAN	ACBD6
ACBD7_HUMAN	ACBD7
ACBG1_HUMAN	ACSBG1
ACBG2_HUMAN	ACSBG2
ACBP_HUMAN	DBI
ACD10_HUMAN	ACAD10
ACD11_HUMAN	ACAD11
ACDSB_HUMAN	ACADSB
ACD_HUMAN	ACD
ACE2_HUMAN	ACE2
ACER1_HUMAN	ACER1
ACER2_HUMAN	ACER2
ACER3_HUMAN	ACER3
ACES_HUMAN	ACHE
ACE_HUMAN	ACE
ACH10_HUMAN	CHRNA10
ACHA2_HUMAN	CHRNA2
ACHA3_HUMAN	CHRNA3
ACHA4_HUMAN	CHRNA4
ACHA5_HUMAN	CHRNA5
ACHA6_HUMAN	CHRNA6
ACHA7_HUMAN	CHRNA7
ACHA9_HUMAN	CHRNA9
ACHA_HUMAN	CHRNA1
ACHB2_HUMAN	CHRNB2
ACHB3_HUMAN	CHRNB3
ACHB4_HUMAN	CHRNB4
ACHB_HUMAN	CHRNB1
ACHD_HUMAN	CHRND
ACHE_HUMAN	CHRNE
ACHG_HUMAN	CHRNG
ACINU_HUMAN	ACIN1
ACK1_HUMAN	TNK2
ACKR1_HUMAN	ACKR1
ACKR2_HUMAN	ACKR2
ACKR3_HUMAN	ACKR3
ACKR4_HUMAN	ACKR4
ACL10_HUMAN	ACTL10
ACL6A_HUMAN	ACTL6A
ACL6B_HUMAN	ACTL6B
ACL7A_HUMAN	ACTL7A
ACL7B_HUMAN	ACTL7B
ACLY_HUMAN	ACLY
ACM1_HUMAN	CHRM1
ACM2_HUMAN	CHRM2
ACM3_HUMAN	CHRM3
