From	To
1433B_MOUSE	Ywhab
1433E_MOUSE	Ywhae
1433F_MOUSE	Ywhah
1433G_MOUSE	Ywhag
1433S_MOUSE	Sfn
1433T_MOUSE	Ywhaq
1433Z_MOUSE	Ywhaz
1A1L1_MOUSE	Accs
1A1L2_MOUSE	Accsl
2A5A_MOUSE	Ppp2r5a
2A5E_MOUSE	Ppp2r5e
2A5G_MOUSE	Ppp2r5c
2AAA_MOUSE	Ppp2r1a
2AAB_MOUSE	Ppp2r1b
2ABA_MOUSE	Ppp2r2a
2ABB_MOUSE	Ppp2r2b
2ABD_MOUSE	Ppp2r2d
2ABG_MOUSE	Ppp2r2c
3BHS1_MOUSE	Hsd3b1
3BHS2_MOUSE	Hsd3b2
3BHS3_MOUSE	Hsd3b3
3BHS4_MOUSE	Hsd3b4
3BHS5_MOUSE	Hsd3b5
3BHS6_MOUSE	Hsd3b6
3BHS7_MOUSE	Hsd3b7
3BP1_MOUSE	Sh3bp1
3BP2_MOUSE	Sh3bp2
3BP5L_MOUSE	Sh3bp5l
3BP5_MOUSE	Sh3bp5
3HAO_MOUSE	Haao
3HIDH_MOUSE	Hibadh
3MG_MOUSE	Mpg
41_MOUSE	Epb41
4EBP1_MOUSE	Eif4ebp1
4EBP2_MOUSE	Eif4ebp2
4EBP3_MOUSE	Eif4ebp3
4ET_MOUSE	Eif4enif1
4F2_MOUSE	Slc3a2
5HT1A_MOUSE	Htr1a
5HT1B_MOUSE	Htr1b
5HT1D_MOUSE	Htr1d
5HT1F_MOUSE	Htr1f
5HT2A_MOUSE	Htr2a
5HT2B_MOUSE	Htr2b
5HT2C_MOUSE	Htr2c
5HT3A_MOUSE	Htr3a
5HT3B_MOUSE	Htr3b
5HT4R_MOUSE	Htr4
5HT5A_MOUSE	Htr5a
5HT5B_MOUSE	Htr5b
5HT6R_MOUSE	Htr6
5HT7R_MOUSE	Htr7
5NT1A_MOUSE	Nt5c1a
5NT1B_MOUSE	Nt5c1b
5NT3A_MOUSE	Nt5c3a
5NT3B_MOUSE	Nt5c3b
5NTC_MOUSE	Nt5c2
5NTD_MOUSE	Nt5e
68MP_MOUSE	Mp68
6PGD_MOUSE	Pgd
6PGL_MOUSE	Pgls
7B2_MOUSE	Scg5
8ODP_MOUSE	Nudt1
A14EL_MOUSE	Arl14epl
A16A1_MOUSE	Aldh16a1
A16L1_MOUSE	Atg16l1
A16L2_MOUSE	Atg16l2
A1AG1_MOUSE	Orm1
A1AG2_MOUSE	Orm2
A1AG3_MOUSE	Orm3
A1AT1_MOUSE	Serpina1a
A1AT2_MOUSE	Serpina1b
A1AT3_MOUSE	Serpina1c
A1AT4_MOUSE	Serpina1d
A1AT5_MOUSE	Serpina1e
A1AT6_MOUSE	Serpina1f
A1BG_MOUSE	A1bg
A1CF_MOUSE	A1cf
A2AP_MOUSE	Serpinf2
A2MG_MOUSE	A2m
A3LT2_MOUSE	A3galt2
A4GAT_MOUSE	A4galt
A4_MOUSE	App
A7L3B_MOUSE	Atxn7l3b
AA1R_MOUSE	Adora1
AA2AR_MOUSE	Adora2a
AA2BR_MOUSE	Adora2b
AA3R_MOUSE	Adora3
AAA1_MOUSE	Slc7a10
AAAD_MOUSE	Aadac
AAAS_MOUSE	Aaas
AAAT_MOUSE	Slc1a5
AACS_MOUSE	Aacs
AADAT_MOUSE	Aadat
AAED1_MOUSE	Aaed1
AAGAB_MOUSE	Aagab
AAK1_MOUSE	Aak1
AAKB1_MOUSE	Prkab1
AAKB2_MOUSE	Prkab2
AAKG1_MOUSE	Prkag1
AAKG2_MOUSE	Prkag2
AAKG3_MOUSE	Prkag3
AAMDC_MOUSE	Aamdc
AAPK1_MOUSE	Prkaa1
AAPK2_MOUSE	Prkaa2
AAR2_MOUSE	Aar2
AARD_MOUSE	Aard
AASD1_MOUSE	Aarsd1
AASS_MOUSE	Aass
AATC2_MOUSE	Got1l1
AATC_MOUSE	Got1
AATF_MOUSE	Aatf
AATM_MOUSE	Got2
AB17A_MOUSE	Abhd17a
AB17B_MOUSE	Abhd17b
AB17C_MOUSE	Abhd17c
AB1IP_MOUSE	Apbb1ip
ABC8A_MOUSE	Abca8a
ABC8B_MOUSE	Abca8b
ABCA1_MOUSE	Abca1
ABCA2_MOUSE	Abca2
ABCA3_MOUSE	Abca3
ABCA4_MOUSE	Abca4
ABCA5_MOUSE	Abca5
ABCA6_MOUSE	Abca6
ABCA7_MOUSE	Abca7
ABCA9_MOUSE	Abca9
ABCAD_MOUSE	Abca13
ABCB5_MOUSE	Abcb5
ABCB6_MOUSE	Abcb6
ABCB7_MOUSE	Abcb7
ABCB8_MOUSE	Abcb8
ABCB9_MOUSE	Abcb9
ABCBA_MOUSE	Abcb10
ABCBB_MOUSE	Abcb11
ABCC9_MOUSE	Abcc9
ABCD1_MOUSE	Abcd1
ABCD2_MOUSE	Abcd2
ABCD3_MOUSE	Abcd3
ABCD4_MOUSE	Abcd4
ABCE1_MOUSE	Abce1
ABCF1_MOUSE	Abcf1
ABCF2_MOUSE	Abcf2
ABCF3_MOUSE	Abcf3
ABCG1_MOUSE	Abcg1
ABCG2_MOUSE	Abcg2
ABCG3_MOUSE	Abcg3
ABCG5_MOUSE	Abcg5
ABCG8_MOUSE	Abcg8
ABD12_MOUSE	Abhd12
ABD18_MOUSE	Abhd18
ABEC1_MOUSE	Apobec1
ABEC2_MOUSE	Apobec2
ABEC3_MOUSE	Apobec3
ABEC4_MOUSE	Apobec4
ABH15_MOUSE	Abhd15
ABHD1_MOUSE	Abhd1
ABHD2_MOUSE	Abhd2
ABHD3_MOUSE	Abhd3
ABHD4_MOUSE	Abhd4
ABHD5_MOUSE	Abhd5
ABHD6_MOUSE	Abhd6
ABHD8_MOUSE	Abhd8
ABHDA_MOUSE	Abhd10
ABHDB_MOUSE	Abhd11
ABHDD_MOUSE	Abhd13
ABHEA_MOUSE	Abhd14a
ABHEB_MOUSE	Abhd14b
ABHGA_MOUSE	Abhd16a
ABHGB_MOUSE	Abhd16b
ABI1_MOUSE	Abi1
ABI2_MOUSE	Abi2
ABI3_MOUSE	Abi3
ABL1_MOUSE	Abl1
ABL2_MOUSE	Abl2
ABLM1_MOUSE	Ablim1
ABLM2_MOUSE	Ablim2
ABLM3_MOUSE	Ablim3
ABRAL_MOUSE	Abracl
ABRA_MOUSE	Abra
ABR_MOUSE	Abr
ABT1_MOUSE	Abt1
ABTB1_MOUSE	Abtb1
ABTB2_MOUSE	Abtb2
ACACA_MOUSE	Acaca
ACACB_MOUSE	Acacb
ACAD8_MOUSE	Acad8
ACAD9_MOUSE	Acad9
ACADL_MOUSE	Acadl
ACADM_MOUSE	Acadm
ACADS_MOUSE	Acads
ACADV_MOUSE	Acadvl
ACAP1_MOUSE	Acap1
ACAP2_MOUSE	Acap2
ACATN_MOUSE	Slc33a1
ACBD5_MOUSE	Acbd5
ACBD6_MOUSE	Acbd6
ACBD7_MOUSE	Acbd7
ACBG1_MOUSE	Acsbg1
ACBG2_MOUSE	Acsbg2
ACBP_MOUSE	Dbi
ACD10_MOUSE	Acad10
ACD11_MOUSE	Acad11
ACDSB_MOUSE	Acadsb
ACD_MOUSE	Acd
ACE2_MOUSE	Ace2
ACER1_MOUSE	Acer1
ACER2_MOUSE	Acer2
ACER3_MOUSE	Acer3
ACES_MOUSE	Ache
ACE_MOUSE	Ace
ACHA2_MOUSE	Chrna2
ACHA3_MOUSE	Chrna3
ACHA4_MOUSE	Chrna4
ACHA5_MOUSE	Chrna5
ACHA6_MOUSE	Chrna6
ACHA7_MOUSE	Chrna7
ACHA_MOUSE	Chrna1
ACHB2_MOUSE	Chrnb2
ACHB3_MOUSE	Chrnb3
ACHB4_MOUSE	Chrnb4
ACHB_MOUSE	Chrnb1
